50001,50251,50501,50751,70001,70251,70501,70751,71001,71251,71501,71751,72001,72251,72501,72751,73001,73251,73501,73751,74001,74251,74501,74751,75001,75251,75501,75751,76001,76251,76501,76751,77001,77251,77501,77751,78001,78251,78501,78751,79001,79251,79501,79751,80001,80251,80501,80751,81001,81251,81501,81751,82001,82251,82501,82751,83001,83251,83501,83751,84001,84251,84501,84751,85001,85251,85501,85751,86001,86251,86501,86751,87001,87251,87501,87751,88001,88251,88501,88751,89001,89251,89501,89751,90001,90251,90501,90751,91001,91251,91501,91751,92001,92251,92501,92751,93001,93251,93501,93751,94001,94251,94501,94751,95001,95251,95501,95751,96001,96251,96501,96751,97001,97251,97501,97751,98001,98251,98501,98751,99001,99251,99501,99751,100001,100251,100501,100751,101001,101251,101501,101751,102001,102251,102501,102751,103001,103251,103501,103751,104001,104251,104501,104751,105001,105251,105501,105751,106001,106251,106501,106751,107001,107251,107501,107751,108001,108251,108501,108751,109001,109251,109501,109751,110001,110251,110501,110751,111001,111251,111501,111751,112001,112251,112501,112751,113001,113251,113501,113751,114001,114251,114501,114751,115001,115251,115501,115751,116001,116251,116501,116751,117001,117251,117501,117751,118001,118251,118501,118751,119001,119251,119501,119751,95001,95251,95501,95751,96001,96251,96501,96751,115001,115251,115501,115751,81251,81501,81751,82001,117001,117251,97501,97751,98001,98251,98501,98751,99001,99251,99501,99751,97001,97251,116001,116251,116501,116751,117501,117751,118001,118251,118501,118751,119001,119251,119501,119751,16044
50002,50252,50502,50752,70002,70252,70502,70752,71002,71252,71502,71752,72002,72252,72502,72752,73002,73252,73502,73752,74002,74252,74502,74752,75002,75252,75502,75752,76002,76252,76502,76752,77002,77252,77502,77752,78002,78252,78502,78752,79002,79252,79502,79752,80002,80252,80502,80752,81002,81252,81502,81752,82002,82252,82502,82752,83002,83252,83502,83752,84002,84252,84502,84752,85002,85252,85502,85752,86002,86252,86502,86752,87002,87252,87502,87752,88002,88252,88502,88752,89002,89252,89502,89752,90002,90252,90502,90752,91002,91252,91502,91752,92002,92252,92502,92752,93002,93252,93502,93752,94002,94252,94502,94752,95002,95252,95502,95752,96002,96252,96502,96752,97002,97252,97502,97752,98002,98252,98502,98752,99002,99252,99502,99752,100002,100252,100502,100752,101002,101252,101502,101752,102002,102252,102502,102752,103002,103252,103502,103752,104002,104252,104502,104752,105002,105252,105502,105752,106002,106252,106502,106752,107002,107252,107502,107752,108002,108252,108502,108752,109002,109252,109502,109752,110002,110252,110502,110752,111002,111252,111502,111752,112002,112252,112502,112752,113002,113252,113502,113752,114002,114252,114502,114752,115002,115252,115502,115752,116002,116252,116502,116752,117002,117252,117502,117752,118002,118252,118502,118752,119002,119252,119502,119752,95002,95252,95502,95752,96002,96252,96502,96752,115002,115252,115502,115752,81252,81502,81752,82002,117002,117252,97502,97752,98002,98252,98502,98752,99002,99252,99502,99752,97002,97252,116002,116252,116502,116752,117502,117752,118002,118252,118502,118752,119002,119252,119502,119752,14001
50003,50253,50503,50753,70003,70253,70503,70753,71003,71253,71503,71753,72003,72253,72503,72753,73003,73253,73503,73753,74003,74253,74503,74753,75003,75253,75503,75753,76003,76253,76503,76753,77003,77253,77503,77753,78003,78253,78503,78753,79003,79253,79503,79753,80003,80253,80503,80753,81003,81253,81503,81753,82003,82253,82503,82753,83003,83253,83503,83753,84003,84253,84503,84753,85003,85253,85503,85753,86003,86253,86503,86753,87003,87253,87503,87753,88003,88253,88503,88753,89003,89253,89503,89753,90003,90253,90503,90753,91003,91253,91503,91753,92003,92253,92503,92753,93003,93253,93503,93753,94003,94253,94503,94753,95003,95253,95503,95753,96003,96253,96503,96753,97003,97253,97503,97753,98003,98253,98503,98753,100753,99253,99503,99753,100003,100253,100503,100753,101003,101253,101503,101753,102003,102253,102503,102753,103003,103253,103503,103753,104003,104253,104503,104753,105003,105253,105503,105753,106003,106253,106503,106753,107003,107253,107503,107753,108003,108253,108503,108753,109003,109253,109503,109753,110003,110253,110503,110753,111003,111253,111503,111753,112003,112253,112503,112753,113003,113253,113503,113753,114003,114253,114503,114753,115003,115253,115503,115753,116003,116253,116503,116753,117003,117253,117503,117753,118003,118253,118503,118753,119003,119253,119503,119753,95003,95253,95503,95753,96003,96253,96503,96753,115003,115253,115503,115753,81253,81503,81753,82003,117003,117253,97503,97753,98003,98253,98503,98753,99003,99253,99503,99753,97003,97253,116003,116253,116503,116753,117503,117753,118003,118253,118503,118753,119003,119253,119503,119753,14002
50004,50254,50504,50754,70004,70254,70504,70754,71004,71254,71504,71754,72004,72254,72504,72754,73004,73254,73504,73754,74004,74254,74504,74754,75004,75254,75504,75754,76004,76254,76504,76754,77004,77254,77504,77754,78004,78254,78504,78754,79004,79254,79504,79754,80004,80254,80504,80754,81004,81254,81504,81754,82004,82254,82504,82754,83004,83254,83504,83754,84004,84254,84504,84754,85004,85254,85504,85754,86004,86254,86504,86754,87004,87254,87504,87754,88004,88254,88504,88754,89004,89254,89504,89754,90004,90254,90504,90754,91004,91254,91504,91754,92004,92254,92504,92754,93004,93254,93504,93754,94004,94254,94504,94754,95004,95254,95504,95754,96004,96254,96504,96754,97004,97254,97504,97754,98004,98254,98504,98754,100754,99254,99504,99754,100004,100254,100504,100754,101004,101254,101504,101754,102004,102254,102504,102754,103004,103254,103504,103754,104004,104254,104504,104754,105004,105254,105504,105754,106004,106254,106504,106754,107004,107254,107504,107754,108004,108254,108504,108754,109004,109254,109504,109754,110004,110254,110504,110754,111004,111254,111504,111754,112004,112254,112504,112754,113004,113254,113504,113754,114004,114254,114504,114754,115004,115254,115504,115754,116004,116254,116504,116754,117004,117254,117504,117754,118004,118254,118504,118754,119004,119254,119504,119754,95004,95254,95504,95754,96004,96254,96504,96754,115004,115254,115504,115754,81254,81504,81754,82004,117004,117254,97504,97754,98004,98254,98504,98754,99004,99254,99504,99754,97004,97254,116004,116254,116504,116754,117504,117754,118004,118254,118504,118754,119004,119254,119504,119754,14003
50005,50255,50505,50755,70005,70255,70505,70755,71005,71255,71505,71755,72005,72255,72505,72755,73005,73255,73505,73755,74005,74255,74505,74755,75005,75255,75505,75755,76005,76255,76505,76755,77005,77255,77505,77755,78005,78255,78505,78755,79005,79255,79505,79755,80005,80255,80505,80755,81005,81255,81505,81755,82005,82255,82505,82755,83005,83255,83505,83755,84005,84255,84505,84755,85005,85255,85505,85755,86005,86255,86505,86755,87005,87255,87505,87755,88005,88255,88505,88755,89005,89255,89505,89755,90005,90255,90505,90755,91005,91255,91505,91755,92005,92255,92505,92755,93005,93255,93505,93755,94005,94255,94505,94755,95005,95255,95505,95755,96005,96255,96505,96755,97005,97255,97505,97755,98005,98255,98505,98755,100755,99255,99505,99755,100005,100255,100505,100755,101005,101255,101505,101755,102005,102255,102505,102755,103005,103255,103505,103755,104005,104255,104505,104755,105005,105255,105505,105755,106005,106255,106505,106755,107005,107255,107505,107755,108005,108255,108505,108755,109005,109255,109505,109755,110005,110255,110505,110755,111005,111255,111505,111755,112005,112255,112505,112755,113005,113255,113505,113755,114005,114255,114505,114755,115005,115255,115505,115755,116005,116255,116505,116755,117005,117255,117505,117755,118005,118255,118505,118755,119005,119255,119505,119755,95005,95255,95505,95755,96005,96255,96505,96755,115005,115255,115505,115755,81255,81505,81755,82005,117005,117255,97505,97755,98005,98255,98505,98755,99005,99255,99505,99755,97005,97255,116005,116255,116505,116755,117505,117755,118005,118255,118505,118755,119005,119255,119505,119755,14004
50006,50256,50506,50756,70006,70256,70506,70756,71006,71256,71506,71756,72006,72256,72506,72756,73006,73256,73506,73756,74006,74256,74506,74756,75006,75256,75506,75756,76006,76256,76506,76756,77006,77256,77506,77756,78006,78256,78506,78756,79006,79256,79506,79756,80006,80256,80506,80756,81006,81256,81506,81756,82006,82256,82506,82756,83006,83256,83506,83756,84006,84256,84506,84756,85006,85256,85506,85756,86006,86256,86506,86756,87006,87256,87506,87756,88006,88256,88506,88756,89006,89256,89506,89756,90006,90256,90506,90756,91006,91256,91506,91756,92006,92256,92506,92756,93006,93256,93506,93756,94006,94256,94506,94756,95006,95256,95506,95756,96006,96256,96506,96756,97006,97256,97506,97756,98006,98256,98506,98756,100756,99256,99506,99756,100006,100256,100506,100756,101006,101256,101506,101756,102006,102256,102506,102756,103006,103256,103506,103756,104006,104256,104506,104756,105006,105256,105506,105756,106006,106256,106506,106756,107006,107256,107506,107756,108006,108256,108506,108756,109006,109256,109506,109756,110006,110256,110506,110756,111006,111256,111506,111756,112006,112256,112506,112756,113006,113256,113506,113756,114006,114256,114506,114756,115006,115256,115506,115756,116006,116256,116506,116756,117006,117256,117506,117756,118006,118256,118506,118756,119006,119256,119506,119756,95006,95256,95506,95756,96006,96256,96506,96756,115006,115256,115506,115756,81256,81506,81756,82006,117006,117256,97506,97756,98006,98256,98506,98756,99006,99256,99506,99756,97006,97256,116006,116256,116506,116756,117506,117756,118006,118256,118506,118756,119006,119256,119506,119756,14005
50007,50257,50507,50757,70007,70257,70507,70757,71007,71257,71507,71757,72007,72257,72507,72757,73007,73257,73507,73757,74007,74257,74507,74757,75007,75257,75507,75757,76007,76257,76507,76757,77007,77257,77507,77757,78007,78257,78507,78757,79007,79257,79507,79757,80007,80257,80507,80757,81007,81257,81507,81757,82007,82257,82507,82757,83007,83257,83507,83757,84007,84257,84507,84757,85007,85257,85507,85757,86007,86257,86507,86757,87007,87257,87507,87757,88007,88257,88507,88757,89007,89257,89507,89757,90007,90257,90507,90757,91007,91257,91507,91757,92007,92257,92507,92757,93007,93257,93507,93757,94007,94257,94507,94757,95007,95257,95507,95757,96007,96257,96507,96757,97007,97257,97507,97757,98007,98257,98507,98757,100757,99257,99507,99757,100007,100257,100507,100757,101007,101257,101507,101757,102007,102257,102507,102757,103007,103257,103507,103757,104007,104257,104507,104757,105007,105257,105507,105757,106007,106257,106507,106757,107007,107257,107507,107757,108007,108257,108507,108757,109007,109257,109507,109757,110007,110257,110507,110757,111007,111257,111507,111757,112007,112257,112507,112757,113007,113257,113507,113757,114007,114257,114507,114757,115007,115257,115507,115757,116007,116257,116507,116757,117007,117257,117507,117757,118007,118257,118507,118757,119007,119257,119507,119757,95007,95257,95507,95757,96007,96257,96507,96757,115007,115257,115507,115757,81257,81507,81757,82007,117007,117257,97507,97757,98007,98257,98507,98757,99007,99257,99507,99757,97007,97257,116007,116257,116507,116757,117507,117757,118007,118257,118507,118757,119007,119257,119507,119757,697
50008,50258,50508,50758,70008,70258,70508,70758,71008,71258,71508,71758,72008,72258,72508,72758,73008,73258,73508,73758,74008,74258,74508,74758,75008,75258,75508,75758,76008,76258,76508,76758,77008,77258,77508,77758,78008,78258,78508,78758,79008,79258,79508,79758,80008,80258,80508,80758,81008,81258,81508,81758,82008,82258,82508,82758,83008,83258,83508,83758,84008,84258,84508,84758,85008,85258,85508,85758,86008,86258,86508,86758,87008,87258,87508,87758,88008,88258,88508,88758,89008,89258,89508,89758,90008,90258,90508,90758,91008,91258,91508,91758,92008,92258,92508,92758,93008,93258,93508,93758,94008,94258,94508,94758,95008,95258,95508,95758,96008,96258,96508,96758,97008,97258,97508,97758,98008,98258,98508,98758,100758,99258,99508,99758,100008,100258,100508,100758,101008,101258,101508,101758,102008,102258,102508,102758,103008,103258,103508,103758,104008,104258,104508,104758,105008,105258,105508,105758,106008,106258,106508,106758,107008,107258,107508,107758,108008,108258,108508,108758,109008,109258,109508,109758,110008,110258,110508,110758,111008,111258,111508,111758,112008,112258,112508,112758,113008,113258,113508,113758,114008,114258,114508,114758,115008,115258,115508,115758,116008,116258,116508,116758,117008,117258,117508,117758,118008,118258,118508,118758,119008,119258,119508,119758,95008,95258,95508,95758,96008,96258,96508,96758,115008,115258,115508,115758,81258,81508,81758,82008,117008,117258,97508,97758,98008,98258,98508,98758,99008,99258,99508,99758,97008,97258,116008,116258,116508,116758,117508,117758,118008,118258,118508,118758,119008,119258,119508,119758,5977
50009,50259,50509,50759,70009,70259,70509,70759,71009,71259,71509,71759,72009,72259,72509,72759,73009,73259,73509,73759,74009,74259,74509,74759,75009,75259,75509,75759,76009,76259,76509,76759,77009,77259,77509,77759,78009,78259,78509,78759,79009,79259,79509,79759,80009,80259,80509,80759,81009,81259,81509,81759,82009,82259,82509,82759,83009,83259,83509,83759,84009,84259,84509,84759,85009,85259,85509,85759,86009,86259,86509,86759,87009,87259,87509,87759,88009,88259,88509,88759,89009,89259,89509,89759,90009,90259,90509,90759,91009,91259,91509,91759,92009,92259,92509,92759,93009,93259,93509,93759,94009,94259,94509,94759,95009,95259,95509,95759,96009,96259,96509,96759,97009,97259,97509,97759,98009,98259,98509,98759,100759,99259,99509,99759,100009,100259,100509,100759,101009,101259,101509,101759,102009,102259,102509,102759,103009,103259,103509,103759,104009,104259,104509,104759,105009,105259,105509,105759,106009,106259,106509,106759,107009,107259,107509,107759,108009,108259,108509,108759,109009,109259,109509,109759,110009,110259,110509,110759,111009,111259,111509,111759,112009,112259,112509,112759,113009,113259,113509,113759,114009,114259,114509,114759,115009,115259,115509,115759,116009,116259,116509,116759,117009,117259,117509,117759,118009,118259,118509,118759,119009,119259,119509,119759,95009,95259,95509,95759,96009,96259,96509,96759,115009,115259,115509,115759,81259,81509,81759,82009,117009,117259,97509,97759,98009,98259,98509,98759,99009,99259,99509,99759,97009,97259,116009,116259,116509,116759,117509,117759,118009,118259,118509,118759,119009,119259,119509,119759,5976
50010,50260,50510,50760,70010,70260,70510,70760,71010,71260,71510,71760,72010,72260,72510,72760,73010,73260,73510,73760,74010,74260,74510,74760,75010,75260,75510,75760,76010,76260,76510,76760,77010,77260,77510,77760,78010,78260,78510,78760,79010,79260,79510,79760,80010,80260,80510,80760,81010,81260,81510,81760,82010,82260,82510,82760,83010,83260,83510,83760,84010,84260,84510,84760,85010,85260,85510,85760,86010,86260,86510,86760,87010,87260,87510,87760,88010,88260,88510,88760,89010,89260,89510,89760,90010,90260,90510,90760,91010,91260,91510,91760,92010,92260,92510,92760,93010,93260,93510,93760,94010,94260,94510,94760,95010,95260,95510,95760,96010,96260,96510,96760,97010,97260,97510,97760,98010,98260,98510,98760,100760,99260,99510,99760,100010,100260,100510,100760,101010,101260,101510,101760,102010,102260,102510,102760,103010,103260,103510,103760,104010,104260,104510,104760,105010,105260,105510,105760,106010,106260,106510,106760,107010,107260,107510,107760,108010,108260,108510,108760,109010,109260,109510,109760,110010,110260,110510,110760,111010,111260,111510,111760,112010,112260,112510,112760,113010,113260,113510,113760,114010,114260,114510,114760,115010,115260,115510,115760,116010,116260,116510,116760,117010,117260,117510,117760,118010,118260,118510,118760,119010,119260,119510,119760,95010,95260,95510,95760,96010,96260,96510,96760,115010,115260,115510,115760,81260,81510,81760,82010,117010,117260,97510,97760,98010,98260,98510,98760,99010,99260,99510,99760,97010,97260,116010,116260,116510,116760,117510,117760,118010,118260,118510,118760,119010,119260,119510,119760,5972
